path	origin	license	attribution	modification_notice_required	modification_notice_location	approval_ref	notes
helm-charts/bifrost/values-examples/sqlite-weaviate.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values example.
helm-charts/bifrost/values.schema.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm schema.
helm-charts/bifrost/values.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm values.
helm-charts/index.yaml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Helm repository index.
npx/bifrost-cli/bin.js	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	NPX CLI entrypoint.
npx/bifrost-cli/package.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	NPX package metadata.
npx/bifrost-migration-cli/bin.js	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	NPX migration CLI entrypoint.
npx/bifrost-migration-cli/package.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	NPX migration package metadata.
npx/bifrost/bin.js	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	NPX binary entrypoint.
npx/bifrost/package.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	NPX package metadata.
terraform/examples/aws-ecs/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/examples/aws-ecs/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/examples/aws-ecs/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/examples/azure-aks/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/examples/azure-aks/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/examples/azure-aks/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/examples/gcp-gke/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/examples/gcp-gke/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/examples/gcp-gke/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/examples/kubernetes/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/examples/kubernetes/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/examples/kubernetes/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform example.
terraform/modules/bifrost/aws/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/aws/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/aws/services/ecs/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/aws/services/ecs/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/aws/services/ecs/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/aws/services/eks/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/aws/services/eks/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/aws/services/eks/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/aws/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/azure/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/azure/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/azure/services/aci/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/azure/services/aci/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/azure/services/aci/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/azure/services/aks/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/azure/services/aks/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/azure/services/aks/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/azure/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/gcp/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/gcp/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/gcp/services/cloud-run/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/gcp/services/cloud-run/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/gcp/services/cloud-run/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/gcp/services/gke/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/gcp/services/gke/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/gcp/services/gke/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/gcp/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/kubernetes/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/kubernetes/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/kubernetes/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
terraform/modules/bifrost/tests/setup/main.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform test support.
terraform/modules/bifrost/tests/setup/outputs.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform test support.
terraform/modules/bifrost/tests/setup/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform test support.
terraform/modules/bifrost/variables.tf	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Terraform module.
transports/Dockerfile	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	OCI image build surface.
transports/Dockerfile.local	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Local OCI image build surface.
transports/Dockerfile.redhat	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Red Hat OCI image build surface.
transports/Dockerfile.release	local-fork	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors; FrankenGate fork modifications	yes	NOTICE	none	Immutable-tag OCI image build surface.
.github/workflows/dependabot-alerts.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and repository automation surface.
.github/workflows/dependency-review.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and repository automation surface.
.github/workflows/docs-validation.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and repository automation surface.
.github/workflows/e2e-tests.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and repository automation surface.
.github/workflows/fork-ci.yml	local-fork	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors; FrankenGate fork modifications	yes	NOTICE	none	Fork CI automation surface.
.github/workflows/frankengate-release.yml	local-fork	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors; FrankenGate fork modifications	yes	NOTICE	none	Fork release automation surface.
.github/workflows/helm-release.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and repository automation surface.
.github/workflows/npx-publish.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and repository automation surface.
.github/workflows/openapi-bundle.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and repository automation surface.
.github/workflows/pr-tests.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and repository automation surface.
.github/workflows/provenance.yml	local-fork	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors; FrankenGate fork modifications	yes	NOTICE	none	Provenance gate automation surface.
.github/workflows/release-bifrost-migration-cli.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and repository automation surface.
.github/workflows/release-cli.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and repository automation surface.
.github/workflows/scorecards.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Build and repository automation surface.
.github/workflows/configs/default/.gitkeep	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/default/config.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/docker-compose.yml	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/emptystate/.gitkeep	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/noconfigstorenologstore/config.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/witconfigstorelogstorepostgres/config.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/withconfigstore/config.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/withconfigstorelogsstorepostgres/config.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/withconfigstorelogsstoresqlite/config.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/withdynamicplugin/config.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/withobservability/config.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/withpostgresmcpclientsinconfig/config.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
.github/workflows/configs/withsemanticcache/config.json	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	CI fixture/config input.
scripts/bifrost-migration-cli/scripts/create_organizations.sh	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Migration CLI packaged shell input.
scripts/bifrost-migration-cli/scripts/create_teams.sh	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Migration CLI packaged shell input.
scripts/bifrost-migration-cli/scripts/create_virtual_keys.sh	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Migration CLI packaged shell input.
scripts/bifrost-migration-cli/scripts/delete_bifrost_entities.sh	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Migration CLI packaged shell input.
scripts/bifrost-migration-cli/scripts/delete_entities.sh	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Migration CLI packaged shell input.
scripts/bifrost-migration-cli/scripts/seed_models.sh	upstream-bifrost	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors	no	none	none	Migration CLI packaged shell input.
scripts/verify-provenance.sh	local-fork	Apache-2.0	Bifrost AI Gateway / Maxim HQ contributors; FrankenGate fork modifications	yes	NOTICE	none	Deterministic provenance release gate.
